curve_id,strain_id,genus_species,culture_name,ancestor_name,experiment,temperature,nitrate_level,light_level,block,replicate,day,fluorescence,absorbance,fluorescence_trunc,absorbance_trunc,comments
21,5,Cyclotella_meneghiniana,SAG_1020.1a,,nitrate,25,500,140.6,1,1,10,414,0.9926,414,0.9926,
22,5,Cyclotella_meneghiniana,SAG_1020.1a,,nitrate,25,500,140.6,1,2,1,4,0.8398,NA,NA,
22,5,Cyclotella_meneghiniana,SAG_1020.1a,,nitrate,25,500,140.6,1,2,2,17,0.8402,NA,NA,
22,5,Cyclotella_meneghiniana,SAG_1020.1a,,nitrate,25,500,140.6,1,2,3,11,0.839,NA,NA,
22,5,Cyclotella_meneghiniana,SAG_1020.1a,,nitrate,25,500,140.6,1,2,4,6,0.8401,NA,NA,
22,5,Cyclotella_meneghiniana,SAG_1020.1a,,nitrate,25,500,140.6,1,2,5,9,0.8425,9,0.8425,
22,5,Cyclotella_meneghiniana,SAG_1020.1a,,nitrate,25,500,140.6,1,2,6,40,0.8521,40,0.8521,
22,5,Cyclotella_meneghiniana,SAG_1020.1a,,nitrate,25,500,140.6,1,2,7,409,0.9902,409,0.9902,
22,5,Cyclotella_meneghiniana,SAG_1020.1a,,nitrate,25,500,140.6,1,2,8,677,1.0806,NA,NA,
22,5,Cyclotella_meneghiniana,SAG_1020.1a,,nitrate,25,500,140.6,1,2,9,841,1.182,NA,NA,
22,5,Cyclotella_meneghiniana,SAG_1020.1a,,nitrate,25,500,140.6,1,2,10,546,1.2001,NA,NA,
23,6,Scenedesmus_acuminatus,SAG_38.81,,nitrate,25,500,140.6,1,1,1,41,0.9933,41,0.9933,
23,6,Scenedesmus_acuminatus,SAG_38.81,,nitrate,25,500,140.6,1,1,2,168,0.9935,168,0.9935,
23,6,Scenedesmus_acuminatus,SAG_38.81,,nitrate,25,500,140.6,1,1,3,297,0.998,297,0.998,
23,6,Scenedesmus_acuminatus,SAG_38.81,,nitrate,25,500,140.6,1,1,4,302,1.0016,NA,NA,
23,6,Scenedesmus_acuminatus,SAG_38.81,,nitrate,25,500,140.6,1,1,5,290,0.9997,NA,NA,
