"population","temp","well.ID","µ"
"11",10,"B07_1",0.188591165735605
"11",10,"C07_1",0.297014454568368
"32",10,"D07_1",0.429782337673137
"anc5",10,"E07_1",0.454263868983441
"32",10,"F07_1",0.480819585438206
"anc3",10,"B07_11",0.298110802720547
"7",10,"C07_11",0.393354736402308
"anc3",10,"D07_11",0.34267998648524
"15",10,"E07_11",0.434495343706376
"cc1690",10,"F07_11",0.408419632716578
"27",10,"B07_6",0.441008080755784
"27",10,"C07_6",0.393296672588589
"35",10,"D07_6",0.583777247255638
"17",10,"E07_6",0.417876582715143
"35",10,"F07_6",0.436775112789183
"anc5",16,"B08_16",1.18657225715084
"32",16,"D08_16",1.04994283064153
"33",16,"E08_16",1.05257660690017
"14",16,"F08_16",1.23713925436625
"17",16,"B08_21",1.02108729586083
"2",16,"C08_21",1.05842168296433
"35",16,"D08_21",1.04030876584529
"9",16,"E08_21",0.94656865025738
"31",16,"F08_21",0.857506551468396
"7",16,"B08_26",1.07320852710503
"16",16,"C08_26",1.2882114900222
"20",16,"D08_26",0.931699377657363
"30",16,"E08_26",1.12514632823828
"10",16,"F08_26",0.839010141460213
"anc5",22,"B08_31",2.03086689525774
"32",22,"D08_31",2.17604862868244
"33",22,"E08_31",1.74453393876515
"14",22,"F08_31",2.12344354435829
"17",22,"B08_36",1.95822206321718
"2",22,"C08_36",1.92929892234708
"35",22,"D08_36",2.25545270538979
"9",22,"E08_36",2.1661981118824
"31",22,"F08_36",2.44787188503378
"7",22,"B08_41",1.97259502204357
"16",22,"C08_41",1.82492175170936
"20",22,"D08_41",1.8101613049198
"30",22,"E08_41",2.2203905566914
"10",22,"F08_41",1.92081412993457
"anc5",28,"B08_46",3.48995525037281
"32",28,"D08_46",3.46892490185807
"33",28,"E08_46",2.92446857503726
"14",28,"F08_46",3.62137705058642
"17",28,"B08_51",3.23455537232258
"2",28,"C08_51",3.10527581957801
"35",28,"D08_51",3.48874501296585
"9",28,"E08_51",3.57800284276718
"31",28,"F08_51",3.44250209204313
"7",28,"B08_56",3.02378612032595
"16",28,"C08_56",3.72216173192559
"20",28,"D08_56",3.36570088955426
"30",28,"E08_56",3.25002483459189
"10",28,"F08_56",2.79368073541986
"anc5",34,"B08_61",4.22076584433838
"32",34,"D08_61",4.45910011158599
"33",34,"E08_61",3.60470744528852
"14",34,"F08_61",4.25157353003348
"17",34,"B08_66",4.53803928453602
"2",34,"C08_66",3.60822008496045
"35",34,"D08_66",3.79787077068038
"9",34,"E08_66",3.30782748158331
"31",34,"F08_66",3.86027365926262
"7",34,"B08_71",4.11545793688448
"16",34,"C08_71",3.70578882489592
"20",34,"D08_71",4.03891892601428
"30",34,"E08_71",3.49174313540324
"10",34,"F08_71",3.64944040365875
"anc5",40,"B08_76",1.09311575669178
"32",40,"D08_76",0.367416387852995
"33",40,"E08_76",-0.0890667118306813
"14",40,"F08_76",1.05500445091996
"17",40,"B08_81",0.37774114403706
"2",40,"C08_81",0.208180229246996
"35",40,"D08_81",0.804114596097847
"9",40,"E08_81",0.299126145617867
"31",40,"F08_81",0.249106800897364
"7",40,"B08_86",0.411127373861057
"16",40,"C08_86",0.210804531886919
"20",40,"D08_86",0.303205759672297
"30",40,"E08_86",0.262416954823601
"10",40,"F08_86",0.0967517872240041
"anc5",10,"B08_1",0.329433128529582
"32",10,"D08_1",0.375723030538301
