"population","salt","pop.ID","µ"
"20",7,"20.7",-0.130783275056879
"30",7,"30.7",-0.103731085483743
"29",7,"29.7",-0.0833079262675784
"23",7,"23.7",0.0337442798991239
"16",7,"16.7",0.118283147186353
"35",7,"35.7",0.0929172637779192
"20",8,"20.8",-0.140607926681976
"30",8,"30.8",-0.234171645767536
"29",8,"29.8",0.657795810036296
"23",8,"23.8",-0.228269801412844
"16",8,"16.8",0.459593937056897
"35",8,"35.8",0.771458601246478
"20",9,"20.9",-0.271096672115486
"30",9,"30.9",-0.241607268295766
"29",9,"29.9",0.421427189388838
"23",9,"23.9",-0.0531017167496476
"16",9,"16.9",0.46103077142859
"35",9,"35.9",0.545818675472598
"15",0,"15.0",1.06353712855048
"cc1690",0,"cc1690.0",1.13707560146329
"Anc 3",0,"Anc 3.0",1.45283523778399
"27",0,"27.0",1.33299913294643
"28",0,"28.0",0.944837442857729
"25",0,"25.0",1.35249851996016
"Anc 4",0,"Anc 4.0",1.3622722157663
"15",1,"15.1",0.990440609654977
"cc1690",1,"cc1690.1",1.24319831137944
"Anc 3",1,"Anc 3.1",1.29799180103417
"27",1,"27.1",1.19339138910709
"28",1,"28.1",1.14442228727477
"25",1,"25.1",1.22124938703174
"Anc 4",1,"Anc 4.1",1.31726139422172
"15",2,"15.2",0.949152439877803
"cc1690",2,"cc1690.2",1.20068017229869
"Anc 3",2,"Anc 3.2",1.16903792704563
"27",2,"27.2",1.10519466815791
"28",2,"28.2",1.3889243654048
