"","population","population.number","nitrate.lvl","well.ID","r.exp"
"681","27",18,5,"B07_2",0.515739034238787
"682","27",18,5,"C07_2",0.426544856423519
"683","27",18,5,"D11_2",1.16474571141334
"684","27",18,5,"G02_2",0.820024629749927
"685","27",18,10,"B07_5",0.761812617626367
"686","27",18,10,"C07_5",0.885089665334479
"687","27",18,10,"D11_5",0.624406468835359
"688","27",18,10,"G02_5",0.597672166557773
"689","27",18,20,"B07_8",0.179953626994121
"690","27",18,20,"C07_8",0.253678258730892
"691","27",18,20,"D11_8",0.655572298596746
"692","27",18,20,"G02_8",0.442537727960789
"693","27",18,40,"B07_11",0.810902903219275
"694","27",18,40,"C07_11",0.596911395511491
"695","27",18,40,"D11_11",0.408894771271436
"696","27",18,40,"G02_11",0.627058426439961
"697","27",18,60,"B07_14",0.287392813670327
"698","27",18,60,"C07_14",0.534425018735989
"699","27",18,60,"D11_14",1.07116130996301
"700","27",18,60,"G02_14",0.844799825113205
"701","27",18,80,"B07_17",1.86867590398344
"702","27",18,80,"C07_17",1.8440369051745
"703","27",18,80,"D11_17",1.6620141263884
"704","27",18,80,"G02_17",1.24361828993122
"705","27",18,100,"B07_20",1.43294228767411
"706","27",18,100,"C07_20",1.56489801212437
"707","27",18,100,"D11_20",1.6191783723892
"708","27",18,100,"G02_20",1.6124509501353
"709","27",18,400,"B07_23",1.89197191198697
"710","27",18,400,"C07_23",1.38976591201501
"711","27",18,400,"D11_23",1.54318973031242
"712","27",18,400,"G02_23",1.80301979339984
"713","27",18,600,"B07_26",1.31113097389775
"714","27",18,600,"C07_26",1.53956810494612
"715","27",18,600,"D11_26",1.09571172096505
"716","27",18,600,"G02_26",1.57147355135769
"717","27",18,1000,"B07_29",1.57134604743222
"718","27",18,1000,"C07_29",1.55186132207748
"719","27",18,1000,"D11_29",1.46856111535777
"720","27",18,1000,"G02_29",1.61796247520648
"721","28",19,5,"B02_2",0.979217343027973
"722","28",19,5,"C05_2",0.817516093738702
"723","28",19,5,"E03_2",0.846433441959244
"724","28",19,5,"F02_2",0.858369067734714
"725","28",19,10,"B02_5",1.36328002711168
"726","28",19,10,"C05_5",2.02405681843629
"727","28",19,10,"E03_5",0.929072326925576
"728","28",19,10,"F02_5",1.00256496094623
"729","28",19,20,"B02_8",0.383462389410888
"730","28",19,20,"C05_8",1.46367095918211
