"","Pop.fac","Pop.num","unique.id","T.µ.max","T.br","I.µ.max","I.comp","N.µ.max","N.comp","P.µ.max","P.comp","S.µ.max","S.c","mean.N.µg.l","mean.P.µg.l","chl.a","chl.b","luthein","pig.PC","bio.vol","Anc","Evol"
"48","10",2,"2.F08",4.05780211950231,20.0104641938328,1.68352405731261,0.0960583989428637,1.28929027309613,0.276943733389059,1.361313175,0.622304778944308,1.55118255385155,3.67656151297771,326.85,70.3,13.9976,5.6665,1.0837,0.0764407397944065,489.5041171,"anc2","L"
"49","29",20,"20.B10",6.30185389357681,18.6270402575323,1.27677326623797,0.0861446506071992,1.42318257334446,0.388666778771424,1.387441058,1.1096327597146,1.52525108148773,3.9948733123614,439.99,94.22,15.4586,6.4414,1.3491,0.829290817960566,369.5942831,"anc3","P"
"50","29",20,"20.D02",4.03497182785271,18.0892587056033,1.62476866165782,0.103321745960121,1.47465923518136,0.638851001903431,1.345830016,1.68289856268834,1.52525108148773,3.9948733123614,439.99,94.22,15.4586,6.4414,1.3491,0.829290817960566,369.5942831,"anc3","P"
"51","29",20,"20.E06",4.09391760306596,19.4245757641252,1.66035974460271,0.134026131562742,1.3500294263473,0.540720560386646,1.248527594,1.08367236194758,1.52525108148773,3.9948733123614,439.99,94.22,15.4586,6.4414,1.3491,0.829290817960566,369.5942831,"anc3","P"
"52","29",20,"20.F04",3.03323240080124,19.1283132154117,1.11935969834397,0.0627139511285145,1.258456935269,0.34948733299913,1.333928746,1.3592903546321,1.52525108148773,3.9948733123614,439.99,94.22,15.4586,6.4414,1.3491,0.829290817960566,369.5942831,"anc3","P"
"53","3",21,"21.B03",6.75074179067832,18.1489150646519,1.2956914240955,0.116389943608601,1.5410738324394,0.297294054502332,1.44852079,1.47524726575164,1.25635441789533,3.96122105809353,149.4,31.41,8.2975,3.3961,0.6914,-1.70589700276328,428.1970628,"cc1690","N"
"54","3",21,"21.C10",3.02799542663146,19.7968666071235,1.52536867526072,0.106303405666859,1.33161722922958,0.741953111486065,1.372890216,1.47999655160803,1.25635441789533,3.96122105809353,149.4,31.41,8.2975,3.3961,0.6914,-1.70589700276328,428.1970628,"cc1690","N"
"55","3",21,"21.D09",4.26709872701917,18.7370639218016,1.42452984807891,0.0992837015868975,1.25505495751358,0.269935784467588,1.351482364,2.84503407510114,1.25635441789533,3.96122105809353,149.4,31.41,8.2975,3.3961,0.6914,-1.70589700276328,428.1970628,"cc1690","N"
"56","3",21,"21.F09",4.34589214214815,19.0873138487479,1.2375407104659,0.125442327771007,1.35935870569589,0.495491123061765,1.392656125,1.4231899367287,1.25635441789533,3.96122105809353,149.4,31.41,8.2975,3.3961,0.6914,-1.70589700276328,428.1970628,"cc1690","N"
"57","30",22,"22.C03",4.66536553205791,19.2772668376914,1.81370352773384,0.111492255540296,1.29962318538287,0.290514913695354,1.536198614,0.747549840547656,1.40294743619051,4.14902595188238,461.84,90.615,21.4494,10.5847,1.8334,3.25141892869934,428.1970628,"anc5","N"
"58","30",22,"22.C09",4.00384433429102,19.3039593791413,1.49185779508105,0.0921776605860508,1.38660447607239,0.391396926201923,1.596387183,0.787896786545228,1.40294743619051,4.14902595188238,461.84,90.615,21.4494,10.5847,1.8334,3.25141892869934,428.1970628,"anc5","N"
"59","30",22,"22.E03",3.77759932969261,20.1383459053861,1.54187907248282,0.109928187101894,1.33559864624968,0.264809537317131,1.300474521,2.08650901309194,1.40294743619051,4.14902595188238,461.84,90.615,21.4494,10.5847,1.8334,3.25141892869934,428.1970628,"anc5","N"
"60","30",22,"22.E08",4.15595747256149,19.6474782211883,1.29612382224693,0.0968956889062686,1.24144434965375,0.620330092700098,1.343085844,0.91992074040174,1.40294743619051,4.14902595188238,461.84,90.615,21.4494,10.5847,1.8334,3.25141892869934,428.1970628,"anc5","N"
"61","31",23,"23.B04",3.67840475268882,19.4190816846491,1.07928046548101,0.0596269773213069,1.37405911567497,0.218430752163321,1.387978843,0.421054768055162,1.39504629253364,3.98224080293353,209.995,40.175,12.4763,5.8848,0.9779,-0.194143372886796,450.7877336,"cc1690","B"
"62","31",23,"23.D06",4.5924955679594,17.5890877857281,1.19417421850116,0.0817756212775542,1.3522295646724,0.243059074670403,1.407222396,0.903576857603257,1.39504629253364,3.98224080293353,209.995,40.175,12.4763,5.8848,0.9779,-0.194143372886796,450.7877336,"cc1690","B"
