"","Pop.id","Parameter","mean","Rhat","n.eff"
"896",150,"cf.b",-0.678640873244397,1.00568599594201,700
"897",150,"cf.delta_t",1.62691406640756,1.00136201834616,2300
"898",150,"cf.sigma",0.135349490013315,1.00070731611191,3000
"899",150,"cf.tmax",31.5317764585333,1.0066711633109,3000
"900",150,"deviance",-15.6066799570356,1.00145489077544,2500
"901",151,"cf.a",0.0489393368880834,1.01492681466334,3000
"902",151,"cf.b",-0.566299503282424,1.00254292731657,980
"903",151,"cf.delta_t",8.04989262345051,1.00178275917622,3000
"904",151,"cf.sigma",0.331004680477021,1.0008757557299,3000
"905",151,"cf.tmax",36.6099723370863,1.03591974884143,1300
"906",151,"deviance",0.879999388942987,1.00058856368135,3000
"907",152,"cf.a",0.059212217126383,1.0119714361053,1200
"908",152,"cf.b",-0.87558473878703,1.00090866897836,3000
"909",152,"cf.delta_t",7.79980765590849,1.00247857801911,2600
"910",152,"cf.sigma",0.220993062863962,1.00156276599988,1900
"911",152,"cf.tmax",37.0875800920783,1.1707148160727,2400
"912",152,"deviance",-5.50160458891596,1.00083352837291,3000
"913",153,"cf.a",0.0484533175737597,1.00066035281893,3000
"914",153,"cf.b",-0.404871134443191,1.00192785091346,3000
"915",153,"cf.delta_t",6.61253695809203,1.00152582761675,2000
"916",153,"cf.sigma",0.552880262414005,1.00063089755913,3000
"917",153,"cf.tmax",31.7791343170844,1.02096095107726,3000
"918",153,"deviance",3.62394153047061,1.00060473944619,3000
"919",154,"cf.a",0.0460369018292096,1.00146043121373,2100
"920",154,"cf.b",-0.514543216543715,1.00125051084065,2700
"921",154,"cf.delta_t",7.97159445325246,1.00054814705763,3000
"922",154,"cf.sigma",0.786692526835907,1.00075300652879,3000
"923",154,"cf.tmax",33.0561814521362,1.0327948238944,1700
"924",154,"deviance",8.60977942491942,1.00049966615227,3000
"925",155,"cf.a",0.0552416249240259,1.00077023575505,3000
"926",155,"cf.b",-0.551367640812255,1.00151219820006,2200
"927",155,"cf.delta_t",5.70849837214954,1.00126529154676,2600
"928",155,"cf.sigma",0.3470553935282,1.00081086806925,3000
"929",155,"cf.tmax",31.341520684532,1.06788228783137,2600
"930",155,"deviance",-3.23887394828904,1.00091953437472,3000
"931",156,"cf.a",0.0508889955779665,1.00199703318435,1800
"932",156,"cf.b",-0.624709634629957,1.00142128574,2200
"933",156,"cf.delta_t",7.61683446600559,1.00179491440735,1700
"934",156,"cf.sigma",0.694706011169411,1.00072319437405,3000
"935",156,"cf.tmax",32.7149264929504,1.01423465280921,3000
