population,population.number,temperature,well.ID,r.log,r.log.cln,r.exp.ln,r.exp.log,r.40.ln.early,r.40.ln.full
2,10,16,C08_21,2.2584794327634934,2.3287611940283788,0.8044936479504919,1.6251637693983962,NA,0.6552827659790127
2,10,16,E04_21,1.622800253953875,1.6236811649383596,0.6328339775761452,1.0525040217350625e-4,NA,0.6545560564435582
2,10,16,F09_21,1.5924078365191572,1.5449424222319252,0.7157150608882406,1.1155438070855626,NA,0.6660365395616669
2,10,22,B10_36,0.767859608448894,0.8371071541207473,2.338019996642596,4.101537424083173,NA,0.7089109988075596
2,10,22,C08_36,0.6970048294722869,0.7468177956281099,2.188423951441987,4.392575311263574,NA,0.6235097940486646
2,10,22,E04_36,0.7824677376711524,0.7824677153514757,2.5507249303167234,3.0028006611923512,NA,0.7486881415478353
2,10,22,F09_36,0.7362943019390968,0.7362969967467762,2.269465324142094,3.275070645611234,NA,0.6487751448425274
2,10,28,B10_51,0.9738316646961819,0.9453526811513063,3.764524632449083,4.913739853257956,NA,0.46301545719143067
2,10,28,C08_51,1.0448590797743897,1.0448564799861024,3.240609576677676,4.932429772152577,NA,0.4394817295168072
2,10,28,E04_51,0.7641321805504276,0.7641323802972455,3.0201187251539676,3.502920798690771,NA,0.47024989139882106
2,10,28,F09_51,0.8159179670987722,0.8141455121107336,3.2468413740012796,3.4853227195741794,NA,0.4498649315735918
2,10,34,B10_66,1.550822830250607,1.5508227337668588,3.799063948409084,4.843193019384433,NA,0.6645962034170037
2,10,34,C08_66,1.3608791371942663,1.2429828956789115,3.811372315431165,4.417773055345782,NA,0.6339926572982022
2,10,34,E04_66,0.9293574166899393,0.9293573050473921,4.203486504152102,5.147464670998744,NA,0.6229493049037717
2,10,34,F09_66,1.376923073355272,1.3769230856626515,3.95351991001401,5.028468846594603,NA,0.6334845243084568
2,10,40,B10_81,-5.155447742193971,-5.618441703389833,0.4403709587200624,NA,2.978721418701587,-0.5264845922956479
2,10,40,C08_81,-5.425145546912885,-5.489630355055509,-0.032395756317820816,NA,2.7743313750753558,-0.66251873858477
2,10,40,E04_81,-7.2294154179678936,-7.119690675800901,0.21517919027689128,NA,2.169179519953568,-0.4933098494200704
2,10,40,F09_81,-4.700559355352719,-3.0313195413861482,-0.257587524760992,NA,3.2759087125388966,-0.5992874574297421
20,11,10,B06_11,2.226531861497365,2.228599032062646,0.5629077058620672,0.7881577015106405,NA,0.46745144478890727
20,11,10,D03_11,3.9236987846366405,3.923713414324882,0.5406261887261831,0.8732451311469424,NA,0.445317868916089
20,11,10,D08_11,0.9176411055299566,0.935327538646857,0.45177517904407427,0.5988222466896129,NA,0.4060078360239379
20,11,10,E09_11,1.96672646331489,1.96673560682366,0.5347411287581583,0.6436920333978583,NA,0.4139317419159061
20,11,16,B06_26,1.096496038240869,1.0964953050584256,0.9652549093559314,2.4694909551549595,NA,0.5238112062149108
20,11,16,D03_26,2.8480374129117156,2.8480374460301787,0.11452091636968818,0.1223627124506423,NA,0.5879469601098275
20,11,16,D08_26,3.2118777747543485,3.211881673427305,0.6879621324879953,1.4521571484797833,NA,0.5601072933740446
