"","Model","Pop.fac","Pop.num","Parameter","mean","Rhat","n.eff"
"308","Thomas 1","23",14,"b",0.0767394466532419,1.00074555273862,6000
"309","Thomas 1","23",14,"c",29.6115320830323,1.00073078320537,6000
"310","Thomas 1","23",14,"deviance",20.428426344843,1.00147369736374,3600
"311","Thomas 1","23",14,"sigma",0.384005229002039,1.00193377495438,2400
"312","Thomas 1","23",14,"topt",25.2279750236519,1.00078986744493,6000
"313","Thomas 1","24",15,"a",0.302325814991318,1.00062241095427,6000
"314","Thomas 1","24",15,"b",0.0867601290372201,1.00066871088617,6000
"315","Thomas 1","24",15,"c",29.5274362751033,1.00165399493489,3000
"316","Thomas 1","24",15,"deviance",23.0730627288588,1.00058243239675,6000
"317","Thomas 1","24",15,"sigma",0.404107411678357,1.00111326890596,5700
"318","Thomas 1","24",15,"topt",25.2777855272576,1.0015795471872,3200
"319","Thomas 1","25",16,"a",0.426075929313785,1.00077322867388,6000
"320","Thomas 1","25",16,"b",0.0774695657656391,1.00071901595295,6000
"321","Thomas 1","25",16,"c",29.8246357137503,1.00155657460914,3300
"322","Thomas 1","25",16,"deviance",7.84965386928542,1.00108334675165,6000
"323","Thomas 1","25",16,"sigma",0.295318606563041,1.00095956442162,6000
"324","Thomas 1","25",16,"topt",25.1964880188923,1.00109529890693,5900
"325","Thomas 1","26",17,"a",0.330019533273315,1.00076904155805,6000
"326","Thomas 1","26",17,"b",0.08403447589976,1.00077240726097,6000
"327","Thomas 1","26",17,"c",29.9230153300838,1.001216347948,4900
"328","Thomas 1","26",17,"deviance",5.1413167655667,1.00189297844816,2500
"329","Thomas 1","26",17,"sigma",0.279506436054489,1.00202148291152,2300
"330","Thomas 1","26",17,"topt",25.1613355956645,1.00128671826283,4400
"331","Thomas 1","27",18,"a",0.625911046978527,1.00152669615878,3400
"332","Thomas 1","27",18,"b",0.0551659814779461,1.00157272027298,3300
"333","Thomas 1","27",18,"c",29.6762027707099,1.00132090422084,4700
"334","Thomas 1","27",18,"deviance",35.1339477259546,1.00074258939626,6000
"335","Thomas 1","27",18,"sigma",0.520489619595717,1.00054670246361,6000
"336","Thomas 1","27",18,"topt",25.4066702025237,1.00439480425926,6000
"337","Thomas 1","28",19,"a",0.228545024544848,1.00127225900973,4500
"338","Thomas 1","28",19,"b",0.103508580572011,1.0011832146004,5100
"339","Thomas 1","28",19,"c",29.0691407124966,1.00124353788005,4700
"340","Thomas 1","28",19,"deviance",35.3666693940823,1.0011423253578,5400
"341","Thomas 1","28",19,"sigma",0.522432126532064,1.00070018476035,6000
"342","Thomas 1","28",19,"topt",25.4571485281156,1.00137566526395,4000
"343","Thomas 1","29",20,"a",0.306661421087488,1.00114300112119,5400
"344","Thomas 1","29",20,"b",0.0869119357679234,1.00104086148967,6000
"345","Thomas 1","29",20,"c",29.2203602863185,1.00119269376681,5000
"346","Thomas 1","29",20,"deviance",17.7800907512059,1.00108050865016,6000
"347","Thomas 1","29",20,"sigma",0.362582406905096,1.00111482357124,5700
"348","Thomas 1","29",20,"topt",25.2311648145319,1.00106164281926,6000
"349","Thomas 1","3",21,"a",0.424322300950394,1.00065903009158,6000
