light,population,well_plate,term,estimate,std.error,statistic,p.value,conf.low,conf.high,ancestor_id,treatment,note
27.5,23,E05_13,days,1.2446014068398183,0.23939292582974225,5.198989913866488,0.013825994930167304,0.48274627452189844,2.006456539157738,anc5,L,NA
27.5,23,F10_13,days,1.1513176484790792,0.32390427170472313,3.5544997366649143,0.037968656,0.12050969572677306,2.1821256012313857,anc5,L,NA
27.5,24,B11_13,days,0.4303822944773594,0.23122568468824528,1.8613083363019598,0.15962266664341737,-0.305481031,1.1662456204001612,anc4,C,NA
27.5,24,D02_13,days,0.4217827782326534,0.15249329078958812,2.7659103954588655,0.069806521,-0.063518932,0.9070844880865322,anc4,C,NA
27.5,24,E06_13,days,0.8676225913672596,0.18342033550625278,4.730242091055833,0.017906603879636156,0.2838972223214874,1.451347960413032,anc4,C,NA
27.5,24,E11_13,days,0.65090871,0.29438647445008187,2.2110686677446023,0.11398792597041091,-0.285960438,1.5877778578035326,anc4,C,NA
27.5,25,B02_13,days,1.0702617276833635,0.3410437228538226,3.1381950640449015,0.05173579,-0.015091608,2.155615063419712,anc2,BS,NA
27.5,25,C05_13,days,1.4226651416494396,0.36557863201686486,3.891543479444415,0.030090309138335665,0.25923077489669577,2.5860995084021834,anc2,BS,NA
27.5,25,E03_13,days,1.1957935703779736,0.18803512076322634,6.359416078891537,0.007867744,0.5973818950414681,1.7942052457144793,anc2,BS,NA
27.5,25,F02_13,days,0.9953778400375499,0.29769301388751174,3.3436385591959845,0.044267545,0.047985808,1.9427698721926332,anc2,BS,NA
27.5,26,B09_14,days,0.7235654685678343,0.20630898583938703,3.5071931822258824,0.03927708,0.066998199,1.3801327382992206,anc3,L,NA
27.5,26,C06_14,days,0.8391350795077838,0.13516762443841426,6.20810703,0.008422562,0.4089713725197765,1.269298786495791,anc3,L,NA
27.5,26,E02_14,days,0.6055258651781992,0.072313204,8.373655590486464,0.003571623,0.375392976,0.8356587541615313,anc3,L,NA
27.5,26,F11_14,days,0.6037291217282836,0.10779852423638747,5.6005323449919215,0.011247460295239792,0.26066610655715605,0.9467921368994112,anc3,L,NA
27.5,27,B07_14,days,0.9401120991091316,0.33200223122942607,2.8316439188611318,0.066100008,-0.116467175,1.9966913732311657,anc3,N,NA
27.5,27,C07_14,days,1.493644401480124,0.31938172190280534,4.6766746468186176,0.018468171317810173,0.4772292206353925,2.5100595823248555,anc3,N,NA
27.5,27,D11_14,days,0.9091977637529995,0.23278901131640975,3.9056730324663245,0.029808067,0.16835923477844406,1.6500362927275551,anc3,N,NA
27.5,27,G02_14,days,0.878561094,0.14731649306025138,5.963766010094647,0.009432096,0.409734265,1.347387923086021,anc3,N,NA
27.5,28,B02_14,days,0.6717744821106261,0.23247193723032059,2.889701398431882,0.063028351,-0.068054976,1.411603939831406,anc5,P,NA
27.5,28,C05_14,days,1.004781687792777,0.041550999,24.181889869151146,1.5500039795705265e-4,0.8725478637519144,1.1370155118336398,anc5,P,NA
27.5,28,E03_14,days,0.894654983,0.086008182,10.401975262589351,0.001896091,0.6209385612648048,1.168371403986679,anc5,P,NA
